label,description
Typhoid,"I have also had some diarrhea, which has been really unpleasant.  it is been coming and going, and  it is been accompanied by abdominal cramps and bloating. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been experiencing chills and fever, along with severe abdominal pain. I have been feeling really miserable overall, and I just cant seem to shake these symptoms. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been having a lot of trouble keeping hydrated because of the vomiting and diarrhea. There is a mild fever along with constipation and headache. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have lost a lot of weight in the past week because I have not been able to eat much due to nausea and vomiting. This is followed by mild fever, headache and belly pain. I am really concerned about my health. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"The fatigue has been really uncomfortable, and I have had a lot of difficulties doing my usual activities. I have also been feeling really depressed and irritable. There is mild pain in the abdominal part too. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have had a persistent headache for the past week, and  it is been getting worse.  it is been accompanied by belly aches, constipation and diarrhea. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been experiencing high fever, especially at night.  it is been really uncomfortable. There is a mild headache along with constipation and diarrhea. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been having a lot of difficulty breathing, and I feel like I am constantly nauseous. I also have mild belly pain. It is been terrifying at times. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"Diarrhea has been really watery and foul-smelling, and it is been accompanied by abdominal pain. I feel like vomiting most of the time. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been having a lot of trouble sleeping because of the high fever, headache and chills. I wake up every day having a terrible pain in my belly area. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have also been experiencing some diarrhea and constipation, which has been really worrying. It feels like a sharp, stabbing pain in my belly area. I feel tired all the time. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have had some constipation and belly pain, which has been really uncomfortable. The pain has been getting worse and  it is really affecting my daily life. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am experiencing a lot of belly pain and constipation, which has been really annoying. Sometimes, I feel a strong urge to vomit, and because of all of these, I am feeling very weak. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"The abdominal pain has been coming and going, and  it is been really unpleasant.  it is been accompanied by constipation and vomiting. I feel really concerned about my health. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been experiencing a lot of bloating and constipation, and  it is been really uncomfortable. It feels like there  a lot of pressure and pain in my belly area. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am experiencing extreme belly pain and constipation. Every night, I have a severe fever along with chills and headaches. The last couple of days has been really uncomfortable. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been feeling exhausted and weak, and I cant seem to get rid of it. Because of the vomiting and nausea, I have entirely lost my appetite. My belly pains which are causing me concern. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am experiencing constipation and stomach ache, which has been really difficult. The discomfort has gotten worse, and it is seriously interfering with my everyday life. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"Because of the vomiting and diarrhea, I have been having a lot of difficulties staying hydrated. I have a high fever, as well as constipation and headache. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"The abdominal pain has been frequent and really painful. Constipation and vomiting have also occurred. I am quite worried about my health. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am having severe stomach pain and constipation. Every night, I get a headache and chills. The last few days have been really painful. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"There is a distinct pain in my abdominal part. I am not sure what it is. I am also going through constant vomiting and feel nauseous. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"The diarrhea has been quite fluid and smelly, and it has been accompanied by severe abdominal pain and headache. Most of the time, I feel like vomiting. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have had a fever for the last couple of days. Now, I am starting to experience a severe pain in my stomach area and suffering from constipation. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am experiencing a lot of nausea and vomiting, and  it is been quite difficult for me to eat anything. I have entirely lost my appetite, and as a result, I have become quite weak. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am having a lot of trouble sleeping because of the high fever and the headache. Moreover, I have constant belly pain, because of which I cant go to work. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been feeling really fatigued and weak, and I cant seem to get rid of it. I have a mild fever and a strange pain in my abdominal area. I cant understand what is happening. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been suffering from constipation and stomach discomfort, which has been really uncomfortable. Last night, I had a mild fever too. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have also been suffering from diarrhea, which has been really uncomfortable. It comes and goes, and  it is accompanied by stomach aches and vomiting. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been experiencing chills, fever, and extreme stomach discomfort. I have been generally unhappy, and I cant seem to get rid of these symptoms. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"Because of the vomiting and diarrhea, I have been having a lot of difficulties staying hydrated. There is a mild fever, too, as well as stomach pain. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have developed diarrhea. It is accompanied by severe pain in my belly area. I dont feel like eating anything, and most of the time, I have a mild headache. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have had a lot of bloating and constipation, which has been really painful. There is a lot of pressure and pain in my stomach area. I get a high fever and chills every night. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have had a persistent stomach pain for the past week, and it is not healing even with medication. I feel like vomiting and cant eat anything, and because of which I have become extremely weak. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am having severe stomach discomfort and diarrhoea. I have a high fever along with a headache. The previous several days have been really unpleasant. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am having a terrible pain in my abdominal part, and I have been feeling really nauseated. I am also experiencing a mild fever. I am really worried. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am experiencing constipation and stomach ache. The discomfort has gotten worse, and it is seriously interfering with my everyday life. I feel like I have lost my appetite to eat anything. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"Most of the time I feel fatigued. I dont want to eat anything. I get a high fever and chills every night. Moreover, I have been vomiting since yesterday. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have lost my appetite and have noticed a significant weight loss. I have abdominal pain, especially in the area of my stomach and intestines. I am concerned about my health. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"The stomach discomfort has been severe and frequent. Vomiting and constipation have also happened. I am concerned about my health. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been experiencing diarrhea and have had loose, watery stools several times a day. I have lost my appetite and feel nauseated all the time. I am starting to get a mild fever too. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am feeling quite weak. I am having a lot of stomach discomfort and constipation, which is really bothering me. I have a strong urge to vomit at times, and as a result, I cant eat anything. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"There is strange pain in my stomach area. I dont know what the reason behind this is. Moreover, I am starting to get a mild fever along with chills and headaches. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have had a high fever, particularly at night.  it is been quite unpleasant. There is a little headache, as well as constipation and diarrhea. I dont feel like eating anything. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been having a lot of trouble staying hydrated because of the vomiting and diarrhea. I have a high fever, constipation, and a headache. I am also starting to get a strange pain in my stomach area and I cant do anything physical. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been getting a headache for the past week that has been growing worse. It has been accompanied by stomach pains, constipation, and diarrhea. I dont know what is happening and I am really worried about it. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have lost a lot of weight in the last week because I couldn't eat much due to nausea and vomiting. This is followed by a high fever, headache, and stomach pain. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I am having some diarrhea and constipation, which has been quite concerning. In my stomach, there is a severe, painful ache. I am constantly exhausted and dont feel like eating anything. Symptoms  constipation, belly pain, fever, headache, chills."
Typhoid,"I have been having diarrhoea and loose, watery stools many times a day.I have lost my appetite and am always sick. I am also developing a mild fever. Also, my abdominal part pains a lot. I dont know what the reason behind all of these is. Symptoms  constipation, belly pain, fever, headache, chills."
Chicken pox,"I have been experiencing intense itching all over my skin, and  it is driving me crazy. I also have a rash that  red and inflamed. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I am feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I have been feeling lethargic and unable to motivate myself. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have had a high fever for the past few days. I dont know what  causing it. Also, I noticed rashes on my skin and  it is hard for me to resist scratching. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have lost my appetite and cant seem to eat anything. I am worried about my health. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"There are small red spots all over my body that I cant explain.  it is worrying me. I feel extremely tired and experience a mild fever every night. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"My lymph nodes are swollen, causing discomfort in my neck and armpits. I dont know what  causing it. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I am feeling really sick and uncomfortable like something is wrong inside. I dont know what it could be. I noticed small red spots on my arms, which itches if I touch them.  Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"The itching is making it hard for me to sleep at night. I cant get any rest. I have also lost my appetite and feel lethargic. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I am worried about this rash on my skin.  it is spreading rapidly and causing a lot of discomforts. I can hardly sleep at night because of the itching. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have no energy and have lost my appetite. I am feeling really sick and dont know what is wrong. Symptoms  itching, red rash, red spots, fever, fatigue. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have a skin rash that is red and inflamed, and it is spreading all over my body. v been experiencing intense itching, especially on my arms and legs. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have had a high fever for the past few days, and  it is starting to worry me. I dont know what is causing it. Also, I have red spots all over my arms and legs, some of which are swollen. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have a skin rash that  red and swollen, and  it is spreading all over my body. I have a mild fever and it is causing me a lot of discomforts. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I am feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I have been feeling lethargic and unable to motivate myself. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"There are small red spots all over my body that I cant explain. The bumps are itchy and uncomfortable and seem to spread rapidly.  it is worrying me. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"The itching is making it hard for me to sleep at night. I cant seem to get any rest because the rash is so itchy and uncomfortable. I am feeling really tired and exhausted. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have no energy and have lost my appetite. I have a high fever and severe headache and dont know what  wrong. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"The high fever and swollen lymph nodes are causing me much discomfort. I have a headache and feel weak and fatigued.  it is hard for me to concentrate because of the fever. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"The rash on my skin is causing a lot of discomforts.  it is red and inflamed, spreading all over my body. The rash is accompanied by intense itching, especially on my arms and legs. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"There are red spots all over my body that I cant explain. The spots are itchy and starting to swell, and they are spreading rapidly. Symptoms  itching, red rash, red spots, fever, fatigue."
Chicken pox,"I have small lymph nodes on my arms and face. The itching is making my day very uncomfortable. Symptoms  itching, red rash, red spots, fever, fatigue."
